plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
141,0,0,0,0,0,0,0,0,0,0,0,0
141,140496,18912,0,73002,123351,106529,510321,297952,29708,167237,31240,24
145,0,0,0,0,0,0,0,0,0,0,0,0
145,6881,35,667,38,368,3947,14298,9330,2010,2263,3471,121
147,45008,12260,16057,21794,15218,17277,33007,0,0,49,0,0
147,1126522,458704,532316,775957,544229,734992,1115494,1092748,617402,893293,784909,229614
147,14,39,4,39,94,7,11,2,1,38,32,82
147,4166,1360,42,9039,677,793,36747,6781,2533,3899,2212,738
148,0,0,0,0,0,0,0,0,0,0,0,0
148,2157,45,48,56,52,2302,7496,4851,215,54,41,41
153,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
160,387726,240591,79101,330542,295047,296379,644595,403378,89173,212330,158928,93119
160,0,0,0,0,0,0,0,0,0,0,0,0
160,158748,199466,1045272,373497,747373,1212603,1671734,1468785,1829352,1905594,1011820,1362974
160,67322,52390,4033,0,0,31302,39214,47403,13269,4179,31983,25390
165,0,0,0,0,0,0,0,0,0,0,0,0
165,1761904,1648857,1670732,1500414,507295,1726479,1909513,1872781,1604497,619737,1719151,1878943
165,77266,55495,59430,0,48116,71609,62174,72654,28897,62101,42722,46775
165,21212,14216,5984,0,29547,107742,86786,125126,10631,54121,61476,11702
187,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
246,217,186,248,253,239,124,155,380,193,217,155,125
246,387864,289332,345548,351580,248748,218772,268157,345113,218443,390009,263447,204287
246,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0
260,59070,30769,54864,55325,39330,36217,69405,77841,54570,82583,78884,50880
260,0,0,0,0,0,0,0,0,0,0,0,0
260,3762853,2994444,3687816,2676382,255552,2067373,3618587,3325393,3048480,4130472,3688626,3685127
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0
298,56225,32643,32173,77760,61975,1753,26217,4509,5497,47590,50527,57515
298,0,0,0,0,0,0,0,0,0,0,0,0
298,310651,78285,142668,138397,412240,540952,529172,638077,570740,353122,350356,414487
315,643280,160080,225080,110050,49130,169620,2133380,1808580,782430,704660,844190,623710
319,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0
335,25300,1000,45140,21260,0,0,517710,341260,118120,213000,372660,197210
344,0,0,0,0,0,0,0,0,0,0,0,0
350,24914,7126,0,81414,94956,155722,940223,1379378,0,375912,0,8342
356,105890,194250,115810,76040,20630,155550,1583280,853250,392240,408940,506910,283060
358,65678,51710,49187,12657,3097,9975,109699,87323,40517,38328,27671,145424
358,2007135,1446636,1308433,485222,227135,242999,2759609,3008625,1358287,1963461,1118814,3054408
371,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,94,0,0,0,0,0,0,0,0,0
377,36,1154,26,0,3113,4055,126660,103792,6617,14,0,4166
377,0,0,0,0,0,0,0,0,0,0,0,0
377,41434,0,46029,25728,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0
384,230323,323822,0,111665,62192,484954,3078442,3169090,0,0,Null,Null
384,0,0,0,0,0,0,0,0,0,0,Null,Null
389,584,606,839,844,754,622,681,703,544,445,373,430
389,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0
389,500543,457651,401486,72959,465637,782654,1089634,1062670,996328,662542,513979,499574
389,0,0,84425,298595,242776,225724,150799,168160,209103,225140,112859,0
389,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0
392,30678,47619,54508,76245,69688,44504,64112,55911,35725,45888,53795,22915
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,55143,0,0,0,16111,0,77830,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,268758,29409,98486,11261,35455,0,223931,87462,67303,99295,109921,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
399,5076,49691,22195,35589,35984,6406,97184,54756,24996,10573,39491,13264
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,625511,1901380,1673260,1473307,1558024,1126008,2037940,2131993,1459978,306108,152140,96263
400,0,0,0,0,0,0,0,0,0,0,0,0
400,352186,186694,79251,831,487,59892,127253,170045,79307,201267,361516,127432
400,0,0,0,0,0,0,0,0,0,0,0,0
400,311026,225511,506375,452553,0,0,213270,583490,5504,315311,214861,552786
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
404,0,412394,145946,216722,128680,461220,1133052,1233229,742736,1044860,1273428,1172676
404,0,0,0,0,0,0,0,0,0,0,0,0
404,123894,74249,23076,807,7928,9446,358508,302579,155978,287111,244151,46082
404,0,0,0,0,0,0,0,0,0,0,0,0
404,137569,36156,0,0,5674,152854,46996,235881,75194,41896,0,35344
404,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,664926,0,6584,908183,434398,463490,1392745,1380722,735699,1195228,1505504,1652260
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,3002,5140,2809,7872,15062,2389,28011,27781,1475,2417,379,25791
408,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0
446,13436,10458,14384,72,10396,9956,9110,4219,4687,1490,3644,9038
447,0,0,0,0,0,0,0,0,0,0,0,0
448,167620,93250,159980,19660,33360,21870,10770,15160,8400,2930,2090,23300
450,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0,0,0
467,198,381,123,183,239,208,245,224,218,219,265,281
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1766687,1581399,1771489,1334972,1936012,1878589,1913122,2092912,1160492,1614498,1967501,1386036
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1413887,1143997,975,0,5046,644432,1008745,670592,601474,332033,0,0
470,112299,113531,120830,74229,110357,119018,121941,125071,132580,105955,81865,76127
470,298811,270301,231848,276566,342600,322022,364839,343354,331657,344789,301594,315524
477,0,0,0,0,Null,0,0,23940,13088,9668,9907,37871
492,Null,Null,Null,577,2272,3878,26,167,0,0,Null,819
492,Null,Null,Null,25475,42931,45603,174910,179884,226019,601416,Null,12818
492,0,0,0,0,0,0,0,0,0,0,Null,0
492,0,0,0,0,0,0,0,0,0,0,Null,0
492,0,0,0,0,0,0,0,0,0,0,Null,0
493,0,0,0,0,0,0,0,0,245,0,0,0
493,219172,14,2,2,0,13984,61159,123361,11241,2,3,0
518,0,0,0,0,0,0,0,0,0,0,0,0
518,6847,5919,6226,3272,4427,2027,3205,4594,4800,0,0,7
525,122664,96944,92407,51601,91694,99349,123120,115900,93350,93261,91263,111577
525,529,221,469,503,774,8,0,21,344,0,710,133
525,1965,2268,494,346,2456,5258,381,1386,2332,1077,2375,403
525,Null,Null,Null,Null,Null,Null,Null,0,0,Null,Null,Null
533,0,Null,0,0,0,0,0,0,0,0,0,0
533,0,Null,0,0,0,0,0,0,0,0,0,0
533,0,Null,0,359,0,0,0,0,0,216,0,0
533,2104190,Null,2404593,967502,2520417,2686948,2804414,2691670,2553897,1342784,2526778,2196911
539,1336,1243,9723,1553,440,2,575,31,566,689,1027,380
547,80937,61929,81339,81376,73617,67258,85094,75931,43732,0,0,16587
559,0,0,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0,0,0
564,103036,58826,253568,67167,146852,130302,89409,112740,57149,99876,149852,134233
564,0,0,0,0,0,0,0,0,0,0,0,0
564,1229304,915326,1213377,585429,1281324,1200774,1199344,1200564,581959,1168169,1224201,1275796
564,63646,51489,73076,119180,100965,121359,191739,199705,167515,94914,74992,55005
564,36322,32151,79367,56147,45749,27462,0,0,0,9372,14030,53458
564,454136,347527,410797,767675,715094,672652,176567,317914,688935,460843,502606,370523
566,0,0,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,1615393,0,0,0,0,0,0,0,0,0
568,0,0,Null,Null,Null,0,0,0,0,0,0,0
568,2163111,1681603,0,0,707522,2088482,2198039,2085108,1933097,1220273,1314161,2106665
568,Null,Null,0,0,28543,Null,Null,Null,Null,Null,Null,Null
568,0,0,0,0,0,0,0,0,0,0,0,0
568,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null
568,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null
589,0,0,0,0,0,0,0,0,0,0,0,0
589,571,0,0,0,538,0,0,495,0,0,1775,0
589,46088,46025,35989,0,2297,21445,54562,25680,5545,0,20975,27283
594,0,238,0,28,0,0,1614,392,0,33,0,24
594,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null
594,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null
594,0,0,0,0,0,285,5619,0,4260,0,3152,0
594,0,0,0,0,0,2310,3310,0,1201,30,1512,0
594,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null
594,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null
602,12622,8573,10659,17621,3837,19100,146052,167357,116548,7454,0,12363
602,1838,3427,1945,4074,2011,5344,5268,2119,4665,227,0,3965
602,0,0,0,0,0,0,0,0,0,0,0,0
607,0,702,1972,0,0,5,0,47,0,106,0,95
607,42085,168991,1017886,1406342,56239,433423,1451966,1306703,1386656,953417,885586,1115695
609,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0
609,1838,1703,1537,2041,787,644,736,1335,48,0,1397,778
609,3822696,3841446,3980206,4070478,3693069,4046289,4752212,4460362,4047774,2545962,3293539,3801495
612,0,0,0,0,0,0,0,0,0,Null,0,0
612,0,1323004,0,0,1591192,0,0,0,0,Null,0,1116884
612,0,0,0,0,0,0,0,0,0,Null,0,0
612,5308834,2670597,6723258,5776602,4670205,6322577,6685156,7183545,5979619,Null,5892947,5503361
612,224,542,135,159,27,84,147,7615,467,Null,0,0
612,240013,409039,338094,386643,228795,326488,703981,753175,448684,Null,210613,163074
613,3,650,376,1152,111,4161,8652,35927,1805,219,0,1027
613,84128,47822,290807,279473,372879,330451,334822,420117,194328,181855,167956,99391
617,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0,0,0
617,2231,1092,0,3446,1075,550,0,1323,143,1310,318,0
617,2900121,3492916,1704624,3281734,4146267,3753758,4426021,4148572,3906231,4106903,1780074,0
617,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0,0,0
619,1807,1605,3020,1091,3041,0,1807,1778,0,1121,585,569
619,2888289,2859453,3832232,3927541,3319839,4257326,5056497,4696113,4523418,4567480,3693708,3357132
619,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null
620,0,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0
620,1488612,2080432,3712443,4544656,6258172,5865782,7505150,8126001,5969947,5344417,3336886,2376696
621,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0
621,64,299,109,210,11,612,0,887,133,0,171,0
621,2693451,2281904,3146032,4213796,3861180,3091551,4380014,4739112,4241182,4348024,4191163,4260950
621,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0
628,145640,222305,288028,298592,363405,501893,558857,582422,501697,333046,74443,106163
628,7034647,6351999,5675596,5410682,5897994,6830485,7026123,6476283,6987634,7159625,5601316,7061680
628,16302,6372,222865,199866,121340,185333,241780,221991,226082,79916,199136,116272
628,3649,2172,7308,4471,2910,5793,5981,6554,4600,2232,5579,3113
634,0,0,0,0,0,0,0,0,0,0,0,0
634,80866,118613,186996,173959,163952,171121,99630,178900,174333,105839,0,15928
634,0,0,0,0,0,0,0,0,0,0,0,0
634,4390955,3469661,3920688,4530284,4568464,4703312,4959633,4972907,4461496,3503735,2458252,2510112
634,0,0,0,0,0,0,0,0,0,0,0,0
634,219,27,498,105,219,79,31,0,381,219,203,7
634,6550,13133,35254,28455,21263,20351,37479,62449,32941,2941,7151,6569
641,2095,12,0,0,0,2,0,2050,0,0,0,0
641,31254,29519,153014,292626,268436,329258,647223,1013439,484616,416635,206158,324732
641,0,0,0,0,0,0,0,0,0,0,0,0
641,0,127,0,212,104,27,45,21,0,0,0,0
641,793568,290766,2108025,515854,1909714,2778042,3407514,3736684,2799219,2459585,1162692,945340
643,0,0,0,0,0,0,0,0,0,0,0,0
643,2802425,2649439,585954,2739385,2322341,2585195,2969425,2940636,2852165,1352121,2029339,2715243
643,0,0,0,0,0,0,0,0,0,0,0,0
645,112,Null,73,148,144,Null,Null,31,52,0,0,0
645,0,Null,0,0,0,Null,Null,0,0,0,0,0
645,3771455,Null,1170051,336268,2171794,Null,Null,3834110,3437154,3926218,3220462,2627635
645,0,Null,0,0,0,Null,Null,0,0,0,0,0
645,966,Null,4450,1585,0,Null,Null,2206,6187,2113,1795,0
645,0,Null,0,0,0,Null,Null,0,0,0,0,0
645,9402,Null,73082,14511,0,Null,Null,38315,30503,30961,56817,51644
645,0,Null,0,0,0,Null,Null,0,0,0,0,0
645,987859,Null,349566,472798,0,Null,Null,262523,90930,237816,170636,259762
645,0,Null,0,0,0,Null,Null,0,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0,0,0
649,Null,Null,Null,0,0,0,0,0,0,0,0,0
663,10,50,3,4,0,3,0,4,0,0,2,0
663,3014,78,178,1952,109,151,349,476,5444,5195,24,1989
663,195,108,7199,29,349,188,35,801,42,399,124,28
663,881837,837606,721014,856153,857877,889107,1005746,1063609,883380,657647,696411,588218
663,0,0,0,0,0,0,0,0,0,0,0,0
667,246,360,168,1905,300,546,279,1875,222,234,135,189
667,37383,18248,11226,9991,6415,5008,6860,4978,3542,0,2631,3915
667,0,0,0,0,0,0,0,0,0,0,0,0
667,958732,1055218,2728018,1775433,2211550,2380066,2286181,2431201,1970179,1733358,881657,399386
667,48691,48373,19508,23197,26732,34778,59165,43157,28570,0,18258,32838
667,634,9436,3180,0,78,917,0,4741,0,0,0,0
667,6646,2584,1594,2972,4682,4004,5458,5378,4120,0,1949,5244
676,0,0,0,0,0,0,0,0,0,0,0,0
676,1574432,1092058,0,0,0,546006,1620866,1620237,1561149,1126011,1441384,1624698
676,0,3,1,6,0,0,7,5,0,3,0,0
676,0,14987,46490,34316,6,28175,30118,62066,38561,3202,15700,19325
676,0,0,0,0,0,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,456,949,9929,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,630,0
688,934455,851051,659927,904837,980313,939892,960907,1006627,936994,944271,769543,963144
688,0,0,402,143,0,0,0,0,0,0,630,0
688,2127,867,31211,7494,2764,29832,45603,100745,39937,500,25926,22607
688,27870,25377,237285,65581,144657,159291,206438,273961,149697,70224,161897,69148
703,223643,201003,276952,291712,334346,393510,588737,645988,382765,291009,269339,360090
703,3473,156,2965,1352,2702,4775,1550,416,449,2804,3010,2507
710,0,0,0,0,0,0,0,0,0,0,0,0
710,246383,471112,631341,546693,524474,655084,762573,792548,542283,264313,338183,323137
710,0,0,27,0,0,0,0,0,0,0,0,324
710,10969012,10029083,8422453,7282480,10497367,10349356,10591831,10272308,9925043,7106530,7603271,10435629
710,636,0,0,0,0,0,0,0,0,0,0,29
710,0,0,173,335,0,0,0,0,0,0,35,0
765,0,0,0,0,0,0,0,0,0,0,0,0
765,0,0,0,0,0,0,0,0,0,0,0,0
765,400260,369309,363129,328564,319571,357384,374890,390239,396529,378139,372910,351151
766,15697,9653,10461,10858,8509,16989,13396,4788,4851,15882,7356,20840
766,0,0,0,0,0,0,0,0,0,0,0,0
766,0,0,0,0,0,0,0,0,0,0,0,0
766,182752,157454,161272,186575,200346,195127,175345,174689,176843,213676,186835,194587
771,0,0,0,0,0,0,0,0,0,0,0,0
774,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,13,0,1,36,15,28,0,23
856,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
856,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
856,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
869,0,0,0,0,0,0,0,0,0,0,0,0
869,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,Null,Null
874,0,0,0,0,0,0,0,0,0,0,Null,Null
876,31296,20811,7798,2856,5330,3633,9459,21985,15611,24922,4075,8049
876,0,0,0,0,0,0,0,0,0,0,0,0
876,190988,77567,89204,19329,46381,46514,249917,232189,181305,216708,89997,91236
879,0,0,0,0,0,0,0,0,0,0,0,0
879,8561,3380,3258,1483,1483,3523,12407,3345,4177,1191,575,0
879,111444,46168,28408,4992,23916,106896,343328,213508,96248,71816,7544,0
880,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0
883,227,193,115,100,0,65,123,777,420,112,97,123
883,0,0,0,0,0,0,0,0,0,0,0,0
883,0,0,0,0,0,0,0,0,0,0,0,0
889,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0
889,2650,3411,1269,1457,692,1066,1203,938,1080,1290,1935,2118
889,0,0,0,0,0,0,0,0,0,0,0,0
889,0,0,0,0,0,0,0,0,0,0,0,0
889,331170,297099,249734,203915,182594,336623,331316,423030,350485,357001,330229,337354
944,6,22,33,124,27,25,23,13,12,19,91,16
944,1,1,1,1,1,1,1,1,1,1,1,1
944,0,0,0,0,0,0,0,0,0,0,0,0
944,0,0,0,0,0,0,0,0,0,0,0,0
955,0,0,35,0,0,38,55,0,0,0,2,2
955,0,0,0,0,0,0,0,0,0,0,0,0
955,15,15,18,17,13,15,40,17,17,16,16,16
958,16,26,18,22,16,19,93,25,22,21,15,14
958,0,0,0,0,0,0,0,0,0,0,0,0
960,1,2,37,1,46,65,595,54,23,0,2,0
960,4,26,150,57,492,1108,2916,2469,1219,0,5,0
960,0,0,0,0,0,0,0,0,0,0,0,0
963,40065,26859,23993,0,37183,40376,43818,43323,39554,23982,8855,31420
963,7556,10623,15998,0,9650,2562,4416,3183,1703,518,13478,12191
969,8,21,45,12,29,93,8,47,26,45,9,55
969,0,0,0,0,0,0,0,0,0,0,0,0
976,31,0,86,0,0,0,0,0,0,69,12,17
976,172,0,1746,98751,44408,121796,240872,83422,34945,107033,169492,333
976,46318,35146,39989,1261,28451,41069,33770,37760,43692,16215,41987,43163
976,10,248,3,400,501,5,420,328,18,270,6,4
976,0,0,0,0,0,0,0,0,0,0,0,0
983,232590,147431,210550,234914,135982,203436,214326,199862,106218,142000,210841,268339
983,2607,1066,1545,946,1280,1131,1137,1289,645,2674,888,911
983,7833,13873,18530,10111,9870,6920,8785,14366,10343,20373,37111,16842
990,0,0,0,0,0,0,0,0,0,0,0,0
990,19,1055,0,99,106,103,19,275,396,112,119,108
990,92511,105778,279764,1052089,350831,297069,647567,360138,189918,185590,94442,66550
990,0,18,22,18,19,19,19,18,19,21,20,22
990,0,0,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,0
990,2375137,1679156,2986283,3798009,3147369,2939520,3372384,1210430,699131,2472483,2536419,2270760
991,0,0,0,0,0,0,0,0,0,0,0,0
991,3221390,2791278,2956693,1240675,2191696,3186057,3107722,3227360,3131000,3155569,3173898,3282996
992,0,0,0,0,0,0,0,0,0,0,0,0
992,0,0,0,0,0,0,0,0,0,0,0,0
992,8248,5214,5116,1465,3136,3586,5022,1692,1685,2155,1613,2292
994,0,8,12,2,5,7,15,8,0,0,2,9
994,353322,239528,184277,165249,128397,137726,220978,180286,155332,188229,107202,186869
994,3091,747,2988,2037,1831,2120,1021,2069,1020,2333,62,2155
997,9403,1134,0,7713,9951,0,4753,20014,18259,792,13779,19204
997,76129,64394,69496,63321,69538,0,11850,0,1402,5190,91164,22555
997,84628,10210,0,69416,89559,0,26935,113410,103468,7124,78080,108821
1001,12,12,12,0,0,0,0,0,0,0,424,0
1001,14385,24319,0,27084,20428,57588,33853,35473,7529,27868,0,13446
1001,95,179,41,274,95,76,76,0,53,47,13,45
1001,152938,197023,184989,111619,143705,209702,175983,142964,130028,137772,142791,212554
1001,661,0,766,2,836,880,1482,1129,852,2381,1459,415
1004,40168,38230,13615,0,0,0,28599,68909,31726,44961,46575,39227
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0
1004,241360,501654,944553,1429377,2160105,2416780,1508829,145428,473443,647471,241300,769650
1004,10057585,10007451,3061871,0,0,0,5759489,12938994,5897279,9174928,11533587,9708993
1012,17401,6513,32703,42508,64536,65714,73876,71902,78819,84746,79627,92090
1012,941,184,35462,22845,30731,29212,24977,33297,29990,25855,18458,30693
1016,7,8,12,10,10,16,25,12,7,8,10,12
1016,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,0,22,0,0,19,0,0,308,86
